venue_id,name,area,discovery_areas,vehicle_types,address,phone,whatsapp,email,website,instagram,opening_hours,delivery_available,requires_license,deposit_note,booking_url,booking_provider,vehicle_count,priced_count,primary_source_url,evidence_count,date_crawled,publish_ready
efc87d799e91268e,PT VRM TRANS BALI,Bali,"Ubud Bali,Kuta Bali,Legian Bali,Sanur Bali,Uluwatu Bali,Jimbaran Bali,Nusa Dua Bali","car,motorbike",,,,,https://vrmtrans.com,,,True,True,"Pembayaran sewa motor & mobil dilakukan saat unit diterima • Bisa cash atau transfer • Aman, nyaman, dan terpercaya",https://www.vrmtrans.com/form-order.html,website_form,4,0,https://www.vrmtrans.com/artikel/category/gianyar,2,2026-08-25T08:22:04+00:00,True
777ad810e90db69c,Seminyak Motorbike & Scooter Rental,Seminyak,"Ubud Bali,Legian Bali,Sanur Bali,Jimbaran Bali,Nusa Dua Bali,Berawa Canggu","motorbike,scooter","Kerobokan, Kuta Utara Bali 80361 - Indonesia",6281311225565,6281311225565,info@baliscooters.com,https://baliscooters.com,https://www.instagram.com/baliscootersrental/,Mon-Sat: 08:00 am - 9:00 pm; Sunday: 8:00 am - 11:00 pm,True,True,No Deposit Needed! Pay for a scooter when you get there & enjoy your adventure!,https://baliscooters.com/seminyak-motorbike-scooter-rental#,whatsapp,39,3,https://baliscooters.com/bali-scooter-rental-cost/,2,2026-08-25T08:22:04+00:00,True
8fe5f1667525a00f,BaliBikeHouse,Bali,"Ubud Bali,Seminyak Bali,Sanur Bali,Uluwatu Bali,Jimbaran Bali","car,motorbike,scooter",,6285337777770,6285337777770,,https://balibikehouse.com,,,True,True,Security deposit is not required on every booking. It depends on the provider and the bike.,,unknown,16,16,https://balibikehouse.com/,2,2026-08-25T08:22:04+00:00,True
f89bab51fe59fcab,Bikago,Bali,"Ubud Bali,Canggu Bali,Seminyak Bali,Jimbaran Bali","motorbike,scooter",,,,,https://bikago.com,,,True,True,Zero deposit on every booking.,https://www.bikago.com/bali/#booking-widget-container,website_form,6,0,https://www.bikago.com/bali/,2,2026-08-25T08:22:04+00:00,True
c7dcbfcdb4ef5f2c,Drive in Bali,Canggu,"Canggu Bali,Seminyak Bali,Sanur Bali,Uluwatu Bali,Jimbaran Bali",car,"Pt. Kebun Digital Indonesia Park23 Mall, Jalan Kediri 27, Tuban, Kuta, kab. Badung, Bali",6287733009333,6287733009333,info@driveinbali.com,https://driveinbali.com,https://www.instagram.com/driveinbali_/,"[office only, no walk-in rentals accepted]",True,,No deposit.,https://driveinbali.com/car-rental-in-canguu/,website_form,18,0,https://driveinbali.com/car-rental-in-canguu/,2,2026-08-25T08:22:04+00:00,True
83b8fea3e1ae2c6f,AGP Motor Bali Rental,Kuta,"Kuta Bali,Legian Bali,Sanur Bali,Uluwatu Bali,Denpasar Bali",motorbike,"JL. SETIA BUDI, GG JANGKONG SARI NO. 99 KUTA, BALI (80361)",6282339753533,6282339753533,info@agpmotorbalirental.com,https://agpmotorbalirental.com,https://www.instagram.com/sewamotorbaliagp/,24 jam,True,True,Cukup memberikan EKTP anda dan memberikan FOTO terbaru anda,https://www.agpmotorbalirental.com/#,website_form,43,42,https://www.agpmotorbalirental.com/,2,2026-08-25T08:22:04+00:00,True
904b71095959377c,Hello Motors,Legian,"Legian Bali,Sanur Bali,Jimbaran Bali,Nusa Dua Bali,Denpasar Bali","motorbike,scooter",Denpasar,6282341430484,6282341430484,,https://hello-motors.com,,,True,True,Security deposit (refundable),https://hello-motors.com/rentsyst_booking_page/,website_form,96,96,https://hello-motors.com/rent-a-motorbike-in-legian/,2,2026-08-25T08:22:04+00:00,True
ef455b5667b15e51,Wish Bali Motorbike Rental,Canggu,"Ubud Bali,Canggu Bali,Seminyak Bali","motorbike,scooter",,,,,https://flexbike.app,,"mon09:00–18:00, tue09:00–18:00, wed09:00–18:00, thu09:00–18:00, fri09:00–18:00, sat10:00–16:00, sunClosed",True,,,https://flexbike.app/indonesia/bali/canggu/wish-bali-motorbike-rental,website_form,23,23,https://flexbike.app/indonesia/bali/ubud/bikes,2,2026-08-25T08:22:04+00:00,True
ce95025eda366fe1,Antara Rental,Ubud,"Ubud Bali,Seminyak Bali,Uluwatu Bali",scooter,Jalan Kartika Plaza Kuta,,6285738667401,info@antararentalbali.com,https://antararentalbali.com,https://www.instagram.com/sewamotorbali_antara/,07.00 - 22.00,True,,,https://www.antararentalbali.com/sewa-motor-ubud/,website_form,30,30,https://www.antararentalbali.com/sewa-motor-ubud/,2,2026-08-25T08:22:04+00:00,True
2c7e2f2c723cff59,Scooter rental Nusa Penida,Nusa Penida,"Ubud Bali,Kuta Bali,Berawa Canggu","motorbike,scooter","Jl. Kubu Anyar Pasar Senggol Anyar No.22, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",,,giostanov@gmail.com,https://gotravelaindonesia.com,,08.00 – 20.00 WITA,True,True,A small refundable cash deposit may be requested.,https://www.gotravelaindonesia.com/rental-motor-di-nusa-penida/,website_form,7,7,https://www.gotravelaindonesia.com/sewa-motor-murah-di-bali/?srsltid=AfmBOoqs4u9SZanfgDa8GQ9MY5bDSX9nc9bfCuXJ-MAGf5ymfR1rmwrC,2,2026-08-25T08:22:04+00:00,True
